Date,Stock Price,Market Cap (Billion USD),Company,Sector,Industry,PE_Ratio,PB_Ratio,Profit_Margin,ROE,ROA,Debt_to_Equity,Company_Age_Years,Market_Cap_Category
2011-02-01 00:00:00+00:00,117.72547149658203,681.6092780786953,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2011-03-01 00:00:00+00:00,114.15802764892578,660.9544206831329,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2011-04-01 00:00:00+01:00,121.6893081665039,704.559178526414,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2011-05-01 00:00:00+01:00,116.07485961914062,672.0525325769063,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2011-06-01 00:00:00+01:00,117.16522979736328,678.3655795375078,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2011-07-01 00:00:00+01:00,111.21778106689453,643.9309224998203,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2011-08-01 00:00:00+01:00,104.08078002929688,602.6089718374687,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2011-09-01 00:00:00+01:00,95.80387878417969,554.6872042650468,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2011-10-01 00:00:00+01:00,109.55199432373047,634.2863172584297,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2011-11-01 00:00:00+00:00,105.18973541259766,609.0296237883516,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2011-12-01 00:00:00+00:00,101.91806030273438,590.0872141178437,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2012-01-01 00:00:00+00:00,114.40995025634766,662.4130072098516,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2012-02-01 00:00:00+00:00,119.76364135742188,693.4099145067188,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
2012-03-01 00:00:00+00:00,129.57870483398438,750.2373643823438,Legal &amp; General,Financial Services,Asset Management,78.16667,447.5191,0.01596,0.047020003,0.00102,2048.96,,Mega Cap
