Date,Stock Price,Market Cap (Billion USD),Company,Sector,Industry,PE_Ratio,PB_Ratio,Profit_Margin,ROE,ROA,Debt_to_Equity,Company_Age_Years,Market_Cap_Category
2008-07-01 00:00:00+02:00,85.39305877685547,120.41189688436718,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2008-08-01 00:00:00+02:00,84.07929229736328,118.5593679303203,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2008-09-01 00:00:00+02:00,73.04390716552734,102.99848188633594,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2008-10-01 00:00:00+02:00,72.51839447021484,102.25746169821093,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2008-11-01 00:00:00+01:00,78.29884338378906,110.40841481426563,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2008-12-01 00:00:00+01:00,80.26946258544922,113.18716521280469,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2009-01-01 00:00:00+01:00,85.13030242919922,120.04138679030468,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2009-02-01 00:00:00+01:00,88.67738342285156,125.04309017189063,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2009-03-01 00:00:00+01:00,81.18907928466797,114.48390750949218,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2009-04-01 00:00:00+02:00,92.48198699951172,130.40792356842968,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2009-05-01 00:00:00+02:00,94.72061157226562,133.56458565640625,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2009-06-01 00:00:00+02:00,105.53154754638672,148.80897819117968,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2009-07-01 00:00:00+02:00,117.59230041503906,165.81572501076562,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2009-08-01 00:00:00+02:00,108.13558197021484,152.48090105021095,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2009-09-01 00:00:00+02:00,107.31321716308594,151.32129267248436,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
2009-10-01 00:00:00+02:00,111.83599853515625,157.6988213850625,H&amp;M,Consumer Cyclical,Apparel Manufacturing,20.565346,4.8784313,0.04646,0.23559,0.05895,168.127,,Large Cap
